doc_name,metric,value,timestamp
FFCUR - First Fiber Credit Union,Progress_Hardware,70.3125,2026-05-08 13:47:56
FFCUR - First Fiber Credit Union,Progress_Custom_Steel,75.0,2026-05-08 13:47:57
FFCUR - First Fiber Credit Union,Progress_Fastener_Guides,31.25,2026-05-08 13:48:00
BSPE-Big Springs Park Expansion,Progress_Custom_Steel,28.125,2026-05-08 13:48:04
HPHQ_HENSEL PHELPS,Nodes_progress,81.25,2026-05-08 13:48:06
HPHQ_HENSEL PHELPS,Progress_2D_Revit_Detailing,75.0,2026-05-08 13:48:06
FFCUR - First Fiber Credit Union,Progress_Hardware,70.3125,2026-05-08 13:54:44
FFCUR - First Fiber Credit Union,Progress_Custom_Steel,75.0,2026-05-08 13:54:45
FFCUR - First Fiber Credit Union,Progress_Fastener_Guides,31.25,2026-05-08 13:54:45
BSPE-Big Springs Park Expansion,Progress_Custom_Steel,28.125,2026-05-08 13:54:49
HPHQ_HENSEL PHELPS,Nodes_progress,81.25,2026-05-08 13:54:51
HPHQ_HENSEL PHELPS,Progress_2D_Revit_Detailing,77.11,2026-05-08 13:54:51
FFCUR - First Fiber Credit Union,Progress_Hardware,70.3125,2026-05-08 13:55:52
FFCUR - First Fiber Credit Union,Progress_Custom_Steel,75.0,2026-05-08 13:55:53
FFCUR - First Fiber Credit Union,Progress_Fastener_Guides,31.25,2026-05-08 13:55:53
BSPE-Big Springs Park Expansion,Progress_Custom_Steel,28.125,2026-05-08 13:55:55
HPHQ_HENSEL PHELPS,Nodes_progress,81.25,2026-05-08 13:55:58
HPHQ_HENSEL PHELPS,Progress_2D_Revit_Detailing,80.0,2026-05-08 13:55:58
FFCUR - First Fiber Credit Union,Progress_Hardware,70.3125,2026-05-08 15:53:52
FFCUR - First Fiber Credit Union,Progress_Custom_Steel,75.0,2026-05-08 15:53:52
FFCUR - First Fiber Credit Union,Progress_Fastener_Guides,31.25,2026-05-08 15:53:53
BSPE-Big Springs Park Expansion,Progress_Custom_Steel,28.125,2026-05-08 15:53:55
HPHQ_HENSEL PHELPS,Nodes_progress,81.25,2026-05-08 15:54:10
HPHQ_HENSEL PHELPS,Progress_2D_Revit_Detailing,80.0,2026-05-08 15:54:11
FFCUR - First Fiber Credit Union,Progress_Hardware,70.3125,2026-05-08 15:55:09
FFCUR - First Fiber Credit Union,Progress_Custom_Steel,75.0,2026-05-08 15:55:11
FFCUR - First Fiber Credit Union,Progress_Fastener_Guides,31.25,2026-05-08 15:55:11
BSPE-Big Springs Park Expansion,Progress_Custom_Steel,28.125,2026-05-08 15:55:15
HPHQ_HENSEL PHELPS,Nodes_progress,81.25,2026-05-08 15:55:17
HPHQ_HENSEL PHELPS,Progress_2D_Revit_Detailing,80.0,2026-05-08 15:55:18
